item,itemLabel,parti,partiLabel
http://www.wikidata.org/entity/Q117661,Jacques Martin,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q125524,Beda Humbel,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q3565689,Walter Biel,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q23008621,Hanspeter Seiler,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1581289,Hans Meier,http://www.wikidata.org/entity/Q659739,Green Party of Switzerland
http://www.wikidata.org/entity/Q1582811,Hans Uhlmann,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q116504,Jean-François Leuba,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q120100,Jean Henri Dunant,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q123706,Jean Ziegler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1711080,Judith Stamm,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q35980455,Rémy Scheurer,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q2582049,Willy Loretan,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q16054374,Andreas Müller,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1678949,Jakob Bürgi,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q121324,Guido A. Zäch,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1877638,Luregn Mathias Cavelty,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q67203390,Hugo Wick,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2039182,Otto Hess,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q5442353,Felix Walker,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q15454545,Hans Schmid,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q21509161,Ursula Mauch,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3092294,Félicien Morel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q115540,Jean-Pascal Delamuraz,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
