id,personne_uri,nom_prenom,genre_uri,genre_code,annee_naissance,fk_parti_id
973,http://www.wikidata.org/entity/Q121172,Hugues Hiltpold,http://www.wikidata.org/entity/Q6581097,M,1969,3
974,http://www.wikidata.org/entity/Q1264296,Hans-Ueli Vogt,http://www.wikidata.org/entity/Q6581097,M,1969,13
975,http://www.wikidata.org/entity/Q71788578,Christophe Clivaz,http://www.wikidata.org/entity/Q6581097,M,1969,16
976,http://www.wikidata.org/entity/Q71815070,François Pointet,http://www.wikidata.org/entity/Q6581097,M,1969,27
977,http://www.wikidata.org/entity/Q72063373,Stéfanie Prezioso,http://www.wikidata.org/entity/Q6581072,F,1969,35
978,http://www.wikidata.org/entity/Q123158072,Nadine Gobet,http://www.wikidata.org/entity/Q6581072,F,1969,23
979,http://www.wikidata.org/entity/Q123165595,Walter Gartmann,http://www.wikidata.org/entity/Q6581097,M,1969,13
980,http://www.wikidata.org/entity/Q123177558,Thomas Stettler,http://www.wikidata.org/entity/Q6581097,M,1969,13
981,http://www.wikidata.org/entity/Q123485381,Vroni Thalmann-Bieri,http://www.wikidata.org/entity/Q6581097,M,1969,13
982,http://www.wikidata.org/entity/Q118308,Christian Levrat,http://www.wikidata.org/entity/Q6581097,M,1970,0
983,http://www.wikidata.org/entity/Q118550,Fathi Derder,http://www.wikidata.org/entity/Q6581097,M,1970,23
984,http://www.wikidata.org/entity/Q118550,Fathi Derder,http://www.wikidata.org/entity/Q6581097,M,1970,3
985,http://www.wikidata.org/entity/Q1904632,Martin Naef,http://www.wikidata.org/entity/Q6581097,M,1970,0
986,http://www.wikidata.org/entity/Q120742,Isabelle Moret,http://www.wikidata.org/entity/Q6581072,F,1970,23
987,http://www.wikidata.org/entity/Q47250749,Yvonne Bürgin,http://www.wikidata.org/entity/Q6581072,F,1970,31
988,http://www.wikidata.org/entity/Q58790423,Natalie Imboden,http://www.wikidata.org/entity/Q6581072,F,1970,16
989,http://www.wikidata.org/entity/Q18132152,Nik Gugger,http://www.wikidata.org/entity/Q6581097,M,1970,14
990,http://www.wikidata.org/entity/Q21032279,Priska Wismer-Felder,http://www.wikidata.org/entity/Q6581072,F,1970,31
991,http://www.wikidata.org/entity/Q115891,Christophe Darbellay,http://www.wikidata.org/entity/Q6581097,M,1971,31
992,http://www.wikidata.org/entity/Q1497859,Reto Nause,http://www.wikidata.org/entity/Q6581097,M,1971,31
993,http://www.wikidata.org/entity/Q118497,Adèle Thorens Goumaz,http://www.wikidata.org/entity/Q6581072,F,1971,16
994,http://www.wikidata.org/entity/Q119410,Peter Keller,http://www.wikidata.org/entity/Q6581097,M,1971,13
995,http://www.wikidata.org/entity/Q74657043,Judith Bellaïche,http://www.wikidata.org/entity/Q6581072,F,1971,27
996,http://www.wikidata.org/entity/Q77074759,Andreas Gafner,http://www.wikidata.org/entity/Q6581097,M,1971,26
997,http://www.wikidata.org/entity/Q77074965,Thomas Rechsteiner,http://www.wikidata.org/entity/Q6581097,M,1971,3
998,http://www.wikidata.org/entity/Q21294744,Géraldine Marchand-Balet,http://www.wikidata.org/entity/Q6581072,F,1971,3
999,http://www.wikidata.org/entity/Q21294822,Franz Ruppen,http://www.wikidata.org/entity/Q6581097,M,1971,13
1000,http://www.wikidata.org/entity/Q118133515,Thomas Bläsi,http://www.wikidata.org/entity/Q6581097,M,1971,13
1001,http://www.wikidata.org/entity/Q123154718,Regina Durrer-Knobel,http://www.wikidata.org/entity/Q6581072,F,1971,31
1002,http://www.wikidata.org/entity/Q123157373,Isabelle Chappuis,http://www.wikidata.org/entity/Q6581072,F,1971,31
1003,http://www.wikidata.org/entity/Q123912951,Pius Kaufmann,http://www.wikidata.org/entity/Q6581097,M,1971,31
1004,http://www.wikidata.org/entity/Q122902,Isabelle Chevalley,http://www.wikidata.org/entity/Q6581072,F,1972,27
1005,http://www.wikidata.org/entity/Q125383,Chantal Galladé,http://www.wikidata.org/entity/Q6581072,F,1972,27
1006,http://www.wikidata.org/entity/Q120133,Laurent Favre,http://www.wikidata.org/entity/Q6581097,M,1972,23
1007,http://www.wikidata.org/entity/Q120133,Laurent Favre,http://www.wikidata.org/entity/Q6581097,M,1972,3
1008,http://www.wikidata.org/entity/Q61596185,Gabriela Suter,http://www.wikidata.org/entity/Q6581072,F,1972,0
1009,http://www.wikidata.org/entity/Q805606,Balthasar Glättli,http://www.wikidata.org/entity/Q6581097,M,1972,16
1010,http://www.wikidata.org/entity/Q825146,Bernhard Guhl,http://www.wikidata.org/entity/Q6581097,M,1972,17
1011,http://www.wikidata.org/entity/Q1417673,Gregor Rutz,http://www.wikidata.org/entity/Q6581097,M,1972,13
1012,http://www.wikidata.org/entity/Q21180030,Mauro Tuena,http://www.wikidata.org/entity/Q6581097,M,1972,13
1013,http://www.wikidata.org/entity/Q77074962,Katja Christ,http://www.wikidata.org/entity/Q6581072,F,1972,27
1014,http://www.wikidata.org/entity/Q123155359,Cyril Aellen,http://www.wikidata.org/entity/Q6581097,M,1972,23
1015,http://www.wikidata.org/entity/Q123158457,Didier Calame,http://www.wikidata.org/entity/Q6581097,M,1972,13
1016,http://www.wikidata.org/entity/Q63453,Ursula Wyss,http://www.wikidata.org/entity/Q6581072,F,1973,0
1017,http://www.wikidata.org/entity/Q117400,Ada Marra,http://www.wikidata.org/entity/Q6581072,F,1973,0
1018,http://www.wikidata.org/entity/Q121347,Sebastian Frehner,http://www.wikidata.org/entity/Q6581097,M,1973,13
1019,http://www.wikidata.org/entity/Q120724,Roger Nordmann,http://www.wikidata.org/entity/Q6581097,M,1973,0
1020,http://www.wikidata.org/entity/Q120954,Cesla Amarelle,http://www.wikidata.org/entity/Q6581072,F,1973,0
1021,http://www.wikidata.org/entity/Q74429417,Isabelle Pasquier,http://www.wikidata.org/entity/Q6581072,F,1973,16
1022,http://www.wikidata.org/entity/Q2221105,Sandra Sollberger-Muff,http://www.wikidata.org/entity/Q6581072,F,1973,13
1023,http://www.wikidata.org/entity/Q123183561,Simona Brizzi,http://www.wikidata.org/entity/Q6581072,F,1973,0
1024,http://www.wikidata.org/entity/Q115614,Toni Brunner,http://www.wikidata.org/entity/Q6581097,M,1974,13
1025,http://www.wikidata.org/entity/Q1475381,Olivier Feller,http://www.wikidata.org/entity/Q6581097,M,1974,23
1026,http://www.wikidata.org/entity/Q64764966,Marc Jost,http://www.wikidata.org/entity/Q6581097,M,1974,14
1027,http://www.wikidata.org/entity/Q20192072,Min Li Marti,http://www.wikidata.org/entity/Q6581072,F,1974,0
1028,http://www.wikidata.org/entity/Q3259501,Lorenzo Quadri,http://www.wikidata.org/entity/Q6581097,M,1974,22
1029,http://www.wikidata.org/entity/Q21294613,Marco Chiesa,http://www.wikidata.org/entity/Q6581097,M,1974,13
1030,http://www.wikidata.org/entity/Q118535,Christa Markwalder,http://www.wikidata.org/entity/Q6581072,F,1975,23
1031,http://www.wikidata.org/entity/Q1355143,Philipp Kutter,http://www.wikidata.org/entity/Q6581097,M,1975,31
1032,http://www.wikidata.org/entity/Q71794148,Sidney Kamerzin,http://www.wikidata.org/entity/Q6581097,M,1975,3
1033,http://www.wikidata.org/entity/Q71813085,Sophie Michaud Gigon,http://www.wikidata.org/entity/Q6581072,F,1975,16
1034,http://www.wikidata.org/entity/Q71825194,Damien Cottier,http://www.wikidata.org/entity/Q6581097,M,1975,23
1035,http://www.wikidata.org/entity/Q72102985,Sandra Locher Benguerel,http://www.wikidata.org/entity/Q6581072,F,1975,0
1036,http://www.wikidata.org/entity/Q72154488,Jörg Mäder,http://www.wikidata.org/entity/Q6581097,M,1975,27
1037,http://www.wikidata.org/entity/Q74410576,Valentine Python,http://www.wikidata.org/entity/Q6581072,F,1975,16
1038,http://www.wikidata.org/entity/Q76435729,Florence Brenzikofer,http://www.wikidata.org/entity/Q6581072,F,1975,16
1039,http://www.wikidata.org/entity/Q2425986,Thomas Maier,http://www.wikidata.org/entity/Q6581097,M,1975,27
1040,http://www.wikidata.org/entity/Q23060472,Thierry Burkart,http://www.wikidata.org/entity/Q6581097,M,1975,23
1041,http://www.wikidata.org/entity/Q123259454,Andrea Zryd,http://www.wikidata.org/entity/Q6581072,F,1975,0
1042,http://www.wikidata.org/entity/Q117165,Natalie Rickli,http://www.wikidata.org/entity/Q6581072,F,1976,13
1043,http://www.wikidata.org/entity/Q120106,Antonio Hodgers,http://www.wikidata.org/entity/Q6581097,M,1976,16
1044,http://www.wikidata.org/entity/Q121166,Andrea Geissbühler,http://www.wikidata.org/entity/Q6581072,F,1976,13
1045,http://www.wikidata.org/entity/Q1307140,Stefan Müller-Altermatt,http://www.wikidata.org/entity/Q6581097,M,1976,3
1046,http://www.wikidata.org/entity/Q1416853,Petra Gössi,http://www.wikidata.org/entity/Q6581072,F,1976,23
1047,http://www.wikidata.org/entity/Q21180065,Barbara Steinemann,http://www.wikidata.org/entity/Q6581072,F,1976,13
1048,http://www.wikidata.org/entity/Q71792676,Delphine Klopfenstein Broggini,http://www.wikidata.org/entity/Q6581072,F,1976,16
1049,http://www.wikidata.org/entity/Q72012369,Gerhard Andrey,http://www.wikidata.org/entity/Q6581097,M,1976,16
1050,http://www.wikidata.org/entity/Q23060461,Angelo Barrile,http://www.wikidata.org/entity/Q6581097,M,1976,0
1051,http://www.wikidata.org/entity/Q116100,Pascale Bruderer,http://www.wikidata.org/entity/Q6581072,F,1977,0
1052,http://www.wikidata.org/entity/Q117269,Norman Gobbi,http://www.wikidata.org/entity/Q6581097,M,1977,22
1053,http://www.wikidata.org/entity/Q1824984,Lilian Studer,http://www.wikidata.org/entity/Q6581072,F,1977,14
1054,http://www.wikidata.org/entity/Q30150159,Simon Michel,http://www.wikidata.org/entity/Q6581097,M,1977,23
1055,http://www.wikidata.org/entity/Q3571733,Yannick Buttet,http://www.wikidata.org/entity/Q6581097,M,1977,3
1056,http://www.wikidata.org/entity/Q73417223,Esther Friedli,http://www.wikidata.org/entity/Q6581072,F,1977,13
1057,http://www.wikidata.org/entity/Q74657073,Melanie Mettler,http://www.wikidata.org/entity/Q6581072,F,1977,27
1058,http://www.wikidata.org/entity/Q77074847,Lars Guggisberg,http://www.wikidata.org/entity/Q6581097,M,1977,13
1059,http://www.wikidata.org/entity/Q23060463,Jonas Fricker,http://www.wikidata.org/entity/Q6581097,M,1977,16
1060,http://www.wikidata.org/entity/Q112195562,Alexandre Berthoud,http://www.wikidata.org/entity/Q6581097,M,1977,23
1061,http://www.wikidata.org/entity/Q117805,Jasmin Hutter,http://www.wikidata.org/entity/Q6581072,F,1978,13
1062,http://www.wikidata.org/entity/Q120634,Beat Arnold,http://www.wikidata.org/entity/Q6581097,M,1978,13
1063,http://www.wikidata.org/entity/Q120881,Evi Allemann,http://www.wikidata.org/entity/Q6581072,F,1978,0
1064,http://www.wikidata.org/entity/Q60485089,Philipp Matthias Bregy,http://www.wikidata.org/entity/Q6581097,M,1978,3
1065,http://www.wikidata.org/entity/Q18413490,Valérie Piller Carrard,http://www.wikidata.org/entity/Q6581072,F,1978,0
1066,http://www.wikidata.org/entity/Q71822625,Fabien Fivaz,http://www.wikidata.org/entity/Q6581097,M,1978,16
1067,http://www.wikidata.org/entity/Q72089261,Céline Widmer,http://www.wikidata.org/entity/Q6581072,F,1978,0
1068,http://www.wikidata.org/entity/Q77074968,Maja Riniker,http://www.wikidata.org/entity/Q6581072,F,1978,23
1069,http://www.wikidata.org/entity/Q1528504,Michael Götte,http://www.wikidata.org/entity/Q6581097,M,1979,13
1070,http://www.wikidata.org/entity/Q118489,Jean Christophe Schwaab,http://www.wikidata.org/entity/Q6581097,M,1979,0
1071,http://www.wikidata.org/entity/Q118524,Kathrin Bertschy,http://www.wikidata.org/entity/Q6581072,F,1979,27
1072,http://www.wikidata.org/entity/Q118558,Thomas Aeschi,http://www.wikidata.org/entity/Q6581097,M,1979,13
1073,http://www.wikidata.org/entity/Q120883,Céline Amaudruz,http://www.wikidata.org/entity/Q6581072,F,1979,13
1074,http://www.wikidata.org/entity/Q58894782,Daniel Frei,http://www.wikidata.org/entity/Q6581097,M,1979,0
1075,http://www.wikidata.org/entity/Q15809769,Flavia Wasserfallen,http://www.wikidata.org/entity/Q6581072,F,1979,0
1076,http://www.wikidata.org/entity/Q979785,Patrick Hässig,http://www.wikidata.org/entity/Q6581097,M,1979,27
1077,http://www.wikidata.org/entity/Q21264986,David Zuberbühler,http://www.wikidata.org/entity/Q6581097,M,1979,13
1078,http://www.wikidata.org/entity/Q21283173,Manfred Bühler,http://www.wikidata.org/entity/Q6581097,M,1979,13
1079,http://www.wikidata.org/entity/Q2431095,Tiana Angelina Moser,http://www.wikidata.org/entity/Q6581072,F,1979,27
1080,http://www.wikidata.org/entity/Q21294587,Michaël Buffat,http://www.wikidata.org/entity/Q6581097,M,1979,13
1081,http://www.wikidata.org/entity/Q123174536,Martine Docourt,http://www.wikidata.org/entity/Q6581072,F,1979,0
1082,http://www.wikidata.org/entity/Q117105,Nadja Umbricht Pieren,http://www.wikidata.org/entity/Q6581072,F,1980,13
1083,http://www.wikidata.org/entity/Q1447989,Martin Candinas,http://www.wikidata.org/entity/Q6581097,M,1980,3
1084,http://www.wikidata.org/entity/Q493598,Andrea Caroni,http://www.wikidata.org/entity/Q6581097,M,1980,23
1085,http://www.wikidata.org/entity/Q118359,Bastien Girod,http://www.wikidata.org/entity/Q6581097,M,1980,16
1086,http://www.wikidata.org/entity/Q18630717,Sibel Arslan,http://www.wikidata.org/entity/Q6581072,F,1980,16
1087,http://www.wikidata.org/entity/Q30118254,Samuel Bendahan,http://www.wikidata.org/entity/Q6581097,M,1980,0
1088,http://www.wikidata.org/entity/Q55669433,Adrian Wüthrich,http://www.wikidata.org/entity/Q6581097,M,1980,0
1089,http://www.wikidata.org/entity/Q61807649,Kilian Baumann,http://www.wikidata.org/entity/Q6581097,M,1980,16
1090,http://www.wikidata.org/entity/Q19840724,Marcel Dobler,http://www.wikidata.org/entity/Q6581097,M,1980,23
1091,http://www.wikidata.org/entity/Q77073222,Manuel Strupler,http://www.wikidata.org/entity/Q6581097,M,1980,13
1092,http://www.wikidata.org/entity/Q67942617,Marionna Schlatter,http://www.wikidata.org/entity/Q6581072,F,1980,16
