p,propLabel,eff
http://www.wikidata.org/prop/direct/P1291,Association Authors of Switzerland ID (former scheme),13
http://www.wikidata.org/prop/direct/P2348,time period,13
http://www.wikidata.org/prop/direct/P3630,Babelio author ID,13
http://www.wikidata.org/prop/direct/P3762,openMLOL author ID,13
http://www.wikidata.org/prop/direct/P5306,LONSEA ID,13
http://www.wikidata.org/prop/direct/P5739,Pontificia Università della Santa Croce ID,13
http://www.wikidata.org/prop/direct/P8286,Olympedia people ID,13
http://www.wikidata.org/prop/direct/P9046,A*dS Encyclopedia ID,13
http://www.wikidata.org/prop/direct/P135,movement,12
http://www.wikidata.org/prop/direct/P4432,AKL Online artist ID,12
http://www.wikidata.org/prop/direct/P9029,Viceversa Letteratura author ID,12
http://www.wikidata.org/prop/direct/P910,topic's main category,11
http://www.wikidata.org/prop/direct/P1741,GTAA ID,11
http://www.wikidata.org/prop/direct/P2732,Persée author ID,11
http://www.wikidata.org/prop/direct/P10168,Zürich Herbaria collector ID,11
http://www.wikidata.org/prop/direct/P935,Commons gallery,10
http://www.wikidata.org/prop/direct/P1005,Portuguese National Library author ID,10
http://www.wikidata.org/prop/direct/P6104,maintained by WikiProject,10
http://www.wikidata.org/prop/direct/P8179,Canadiana Name Authority ID,10
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,10
http://www.wikidata.org/prop/direct/P9371,FranceArchives agent ID,10
http://www.wikidata.org/prop/direct/P2013,Facebook username,9
http://www.wikidata.org/prop/direct/P6886,writing language,9
http://www.wikidata.org/prop/direct/P25,mother,8
http://www.wikidata.org/prop/direct/P184,doctoral advisor,8
http://www.wikidata.org/prop/direct/P434,MusicBrainz artist ID,8
http://www.wikidata.org/prop/direct/P1255,HelveticArchives ID,8
http://www.wikidata.org/prop/direct/P1253,BCU Ecrivainsvd ID,8
http://www.wikidata.org/prop/direct/P2003,Instagram username,8
http://www.wikidata.org/prop/direct/P11182,UOM ID,8
http://www.wikidata.org/prop/direct/P349,NDL Authority ID,7
http://www.wikidata.org/prop/direct/P866,Perlentaucher ID,7
http://www.wikidata.org/prop/direct/P1315,NLA Trove people ID,7
http://www.wikidata.org/prop/direct/P1362,Theaterlexikon der Schweiz ID,7
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),7
http://www.wikidata.org/prop/direct/P1871,CERL Thesaurus ID,7
http://www.wikidata.org/prop/direct/P53,family,6
http://www.wikidata.org/prop/direct/P245,Union List of Artist Names ID,6
http://www.wikidata.org/prop/direct/P860,e-archiv.li ID,6
http://www.wikidata.org/prop/direct/P973,described at URL,6
http://www.wikidata.org/prop/direct/P1375,NSK ID,6
http://www.wikidata.org/prop/direct/P1368,National Library of Latvia ID,6
http://www.wikidata.org/prop/direct/P3430,SNAC ARK ID,6
http://www.wikidata.org/prop/direct/P5508,archINFORM person/group ID,6
http://www.wikidata.org/prop/direct/P6634,LinkedIn personal profile ID,6
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,6
http://www.wikidata.org/prop/direct/P8851,CONOR.SR ID,6
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,6
http://www.wikidata.org/prop/direct/P9720,fotoCH photographer ID,6
http://www.wikidata.org/prop/direct/P54,member of sports team,5
http://www.wikidata.org/prop/direct/P109,signature,5
http://www.wikidata.org/prop/direct/P409,Libraries Australia ID,5
http://www.wikidata.org/prop/direct/P802,student,5
http://www.wikidata.org/prop/direct/P950,National Library of Spain ID,5
http://www.wikidata.org/prop/direct/P1417,Encyclopædia Britannica Online ID,5
http://www.wikidata.org/prop/direct/P1447,Sports-Reference.com Olympic athlete ID (archived),5
http://www.wikidata.org/prop/direct/P3348,National Library of Greece ID,5
http://www.wikidata.org/prop/direct/P3360,Nobel Prize People Nomination ID,5
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,5
http://www.wikidata.org/prop/direct/P6275,copyright representative,5
http://www.wikidata.org/prop/direct/P6107,Winterthur Glossar URL (DEPRECATED),5
http://www.wikidata.org/prop/direct/P7699,National Library of Lithuania ID,5
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,5
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,5
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,5
http://www.wikidata.org/prop/direct/P451,unmarried partner,4
http://www.wikidata.org/prop/direct/P535,Find a Grave memorial ID,4
http://www.wikidata.org/prop/direct/P650,RKDartists ID,4
http://www.wikidata.org/prop/direct/P781,SIKART ID,4
http://www.wikidata.org/prop/direct/P906,SELIBR ID,4
http://www.wikidata.org/prop/direct/P2268,Musée d'Orsay artist ID,4
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,4
http://www.wikidata.org/prop/direct/P2963,Goodreads author ID,4
http://www.wikidata.org/prop/direct/P3365,Treccani ID,4
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon ID,4
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,4
http://www.wikidata.org/prop/direct/P5587,Libris-URI,4
http://www.wikidata.org/prop/direct/P6706,De Agostini ID,4
http://www.wikidata.org/prop/direct/P8168,FactGrid item ID,4
http://www.wikidata.org/prop/direct/P8313,Den Store Danske ID,4
http://www.wikidata.org/prop/direct/P8081,WBIS ID,4
http://www.wikidata.org/prop/direct/P8795,Diamond Catalogue ID for persons and organisations,4
http://www.wikidata.org/prop/direct/P9097,American Academy in Rome ID,4
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,4
http://www.wikidata.org/prop/direct/P10351,Turin University student ID,4
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,4
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,3
http://www.wikidata.org/prop/direct/P886,Lexicon istoric retic ID,3
http://www.wikidata.org/prop/direct/P1581,official blog URL,3
http://www.wikidata.org/prop/direct/P2031,work period (start),3
http://www.wikidata.org/prop/direct/P2383,CTHS person ID,3
http://www.wikidata.org/prop/direct/P2799,BVMC person ID,3
http://www.wikidata.org/prop/direct/P2843,Benezit ID,3
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,3
http://www.wikidata.org/prop/direct/P3901,ADAGP artist ID,3
http://www.wikidata.org/prop/direct/P4663,DACS ID (former),3
http://www.wikidata.org/prop/direct/P5645,Académie française award winner ID,3
http://www.wikidata.org/prop/direct/P5504,RISM ID,3
http://www.wikidata.org/prop/direct/P7444,Rijksmuseum Research Library authority ID,3
http://www.wikidata.org/prop/direct/P7929,Roglo person ID,3
http://www.wikidata.org/prop/direct/P9493,artist files at,3
http://www.wikidata.org/prop/direct/P10013,SNSF person ID,3
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,3
http://www.wikidata.org/prop/direct/P10347,World Economic Forum ID,3
http://www.wikidata.org/prop/direct/P10706,DACS ID (2022),3
http://www.wikidata.org/prop/direct/P800,notable work,2
http://www.wikidata.org/prop/direct/P968,email address,2
http://www.wikidata.org/prop/direct/P1050,medical condition,2
http://www.wikidata.org/prop/direct/P1066,student of,2
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,2
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),2
http://www.wikidata.org/prop/direct/P1399,convicted of,2
http://www.wikidata.org/prop/direct/P1448,official name,2
http://www.wikidata.org/prop/direct/P1449,nickname,2
http://www.wikidata.org/prop/direct/P1472,Commons Creator page,2
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,2
http://www.wikidata.org/prop/direct/P1953,Discogs artist ID,2
http://www.wikidata.org/prop/direct/P2032,work period (end),2
